,Province/State,Country/Region,First confirmed date in country (Est.),Lat,Long,Date,confirmed,recovered,death
0,Anhui,China,2020-01-03 00:00:00,31.82571,117.2264,2020-01-21 22:00:00,0.0,0.0,0.0
1,Beijing,China,2020-01-03 00:00:00,40.18238,116.4142,2020-01-21 22:00:00,10.0,0.0,0.0
2,Chongqing,China,2020-01-03 00:00:00,30.05718,107.874,2020-01-21 22:00:00,5.0,0.0,0.0
3,Fujian,China,2020-01-03 00:00:00,26.07783,117.9895,2020-01-21 22:00:00,0.0,0.0,0.0
4,Gansu,China,2020-01-03 00:00:00,36.0611,103.8343,2020-01-21 22:00:00,0.0,0.0,0.0
5,Guangdong,China,2020-01-03 00:00:00,23.33841,113.422,2020-01-21 22:00:00,17.0,0.0,0.0
6,Guangxi,China,2020-01-03 00:00:00,23.82908,108.7881,2020-01-21 22:00:00,0.0,0.0,0.0
7,Guizhou,China,2020-01-03 00:00:00,26.81536,106.8748,2020-01-21 22:00:00,0.0,0.0,0.0
8,Hainan,China,2020-01-03 00:00:00,19.19673,109.7455,2020-01-21 22:00:00,0.0,0.0,0.0
9,Hebei,China,2020-01-03 00:00:00,38.0428,114.5149,2020-01-21 22:00:00,0.0,0.0,0.0
10,Heilongjiang,China,2020-01-03 00:00:00,47.862,127.7622,2020-01-21 22:00:00,0.0,0.0,0.0
11,Henan,China,2020-01-03 00:00:00,33.88202,113.614,2020-01-21 22:00:00,0.0,0.0,0.0
12,Hubei,China,2020-01-03 00:00:00,30.97564,112.2707,2020-01-21 22:00:00,270.0,25.0,0.0
13,Hunan,China,2020-01-03 00:00:00,27.61041,111.7088,2020-01-21 22:00:00,1.0,0.0,0.0
14,Inner Mongolia,China,2020-01-03 00:00:00,44.09448,113.9456,2020-01-21 22:00:00,0.0,0.0,0.0
15,Jiangsu,China,2020-01-03 00:00:00,32.97027,119.464,2020-01-21 22:00:00,0.0,0.0,0.0
16,Jiangxi,China,2020-01-03 00:00:00,27.61401,115.7221,2020-01-21 22:00:00,2.0,0.0,0.0
17,Jilin,China,2020-01-03 00:00:00,43.66657,126.1917,2020-01-21 22:00:00,0.0,0.0,0.0
18,Liaoning,China,2020-01-03 00:00:00,41.29284,122.6086,2020-01-21 22:00:00,0.0,0.0,0.0
19,Ningxia,China,2020-01-03 00:00:00,37.26923,106.1655,2020-01-21 22:00:00,0.0,0.0,0.0
20,Qinghai,China,2020-01-03 00:00:00,35.65945,96.02564,2020-01-21 22:00:00,0.0,0.0,0.0
21,Shaanxi,China,2020-01-03 00:00:00,35.19165,108.8701,2020-01-21 22:00:00,0.0,0.0,0.0
22,Shandong,China,2020-01-03 00:00:00,36.34377,118.1529,2020-01-21 22:00:00,1.0,0.0,0.0
23,Shanghai,China,2020-01-03 00:00:00,31.20327,121.4554,2020-01-21 22:00:00,9.0,0.0,0.0
24,Shanxi,China,2020-01-03 00:00:00,37.57769,112.2922,2020-01-21 22:00:00,0.0,0.0,0.0
25,Sichuan,China,2020-01-03 00:00:00,30.61714,102.7103,2020-01-21 22:00:00,2.0,0.0,0.0
26,Tianjin,China,2020-01-03 00:00:00,39.29362,117.333,2020-01-21 22:00:00,2.0,0.0,0.0
27,Tibet,China,2020-01-03 00:00:00,30.1534,88.7879,2020-01-21 22:00:00,0.0,0.0,0.0
28,Xinjiang,China,2020-01-03 00:00:00,41.11981,85.17822,2020-01-21 22:00:00,0.0,0.0,0.0
29,Yunnan,China,2020-01-03 00:00:00,24.97411,101.4868,2020-01-21 22:00:00,1.0,0.0,0.0
30,Zhejiang,China,2020-01-03 00:00:00,29.18251,120.0985,2020-01-21 22:00:00,5.0,0.0,0.0
31,0,Thailand,2020-01-13 00:00:00,13.7563,100.5018,2020-01-21 22:00:00,2.0,0.0,0.0
32,0,Japan,2020-01-16 00:00:00,35.6762,139.6503,2020-01-21 22:00:00,1.0,0.0,0.0
33,0,South Korea,2020-01-21 00:00:00,37.5665,126.978,2020-01-21 22:00:00,0.0,0.0,0.0
34,Taiwan,Taiwan,2020-01-21 00:00:00,23.6978,120.9605,2020-01-21 22:00:00,1.0,0.0,0.0
35,"Seattle, WA",US,2020-01-21 00:00:00,47.7511,-120.74,2020-01-21 22:00:00,1.0,0.0,0.0
36,"Chicago, IL",US,2020-01-24 00:00:00,40.6331,-89.3985,2020-01-21 22:00:00,0.0,0.0,0.0
37,California,US,2020-01-26 00:00:00,36.7783,-119.418,2020-01-21 22:00:00,0.0,0.0,0.0
38,"Tempe, AZ",US,2020-01-26 00:00:00,34.0489,-111.094,2020-01-21 22:00:00,0.0,0.0,0.0
39,Macau,Macau,2020-01-22 00:00:00,22.1987,113.5439,2020-01-21 22:00:00,0.0,0.0,0.0
40,Hong Kong,Hong Kong,2020-01-23 00:00:00,22.3193,114.1694,2020-01-21 22:00:00,0.0,0.0,0.0
41,0,Singapore,2020-01-23 00:00:00,1.3521,103.8198,2020-01-21 22:00:00,0.0,0.0,0.0
42,0,Vietnam,2020-01-23 00:00:00,21.0278,105.8342,2020-01-21 22:00:00,0.0,0.0,0.0
43,0,France,2020-01-24 00:00:00,46.2276,2.2137,2020-01-21 22:00:00,0.0,0.0,0.0
44,0,Nepal,2020-01-25 00:00:00,28.3949,84.124,2020-01-21 22:00:00,0.0,0.0,0.0
45,0,Malaysia,2020-01-25 00:00:00,4.2105,101.9758,2020-01-21 22:00:00,0.0,0.0,0.0
46,"Toronto, ON",Canada,2020-01-26 00:00:00,43.6532,-79.3832,2020-01-21 22:00:00,0.0,0.0,0.0
47,British Columbia,Canada,2020-01-28 00:00:00,49.2827,-123.121,2020-01-21 22:00:00,0.0,0.0,0.0
48,New South Wales,Australia,2020-01-26 00:00:00,-33.8688,151.2093,2020-01-21 22:00:00,0.0,0.0,0.0
49,Victoria,Australia,2020-01-26 00:00:00,-37.8136,144.9631,2020-01-21 22:00:00,0.0,0.0,0.0
50,Queensland,Australia,2020-01-27 00:00:00,-27.4698,153.0251,2020-01-21 22:00:00,0.0,0.0,0.0
51,0,Cambodia,2020-01-27 00:00:00,12.5657,104.991,2020-01-21 22:00:00,0.0,0.0,0.0
52,0,Sri Lanka,2020-01-27 00:00:00,7.8731,80.7718,2020-01-21 22:00:00,0.0,0.0,0.0
53,Bavaria,Germany,2020-01-27 00:00:00,51.1657,10.4515,2020-01-21 22:00:00,0.0,0.0,0.0
54,0,Finland,2020-01-29 00:00:00,61.9241,25.7482,2020-01-21 22:00:00,0.0,0.0,0.0
55,0,United Arab Emirates,2020-01-29 00:00:00,23.4241,53.8478,2020-01-21 22:00:00,0.0,0.0,0.0
56,0,Philippines,2020-01-29 00:00:00,12.8797,121.774,2020-01-21 22:00:00,0.0,0.0,0.0
57,0,India,2020-01-29 00:00:00,20.5937,78.9629,2020-01-21 22:00:00,0.0,0.0,0.0
58,"London, ON",Canada,2020-01-31 00:00:00,42.9849,-81.2453,2020-01-21 22:00:00,0.0,0.0,0.0
59,0,Italy,2020-01-31 00:00:00,41.8719,12.5674,2020-01-21 22:00:00,0.0,0.0,0.0
60,0,UK,2020-01-31 00:00:00,55.3781,-3.436,2020-01-21 22:00:00,0.0,0.0,0.0
